Transport_Type,Source,Destination,median_price,avg_price,median_duration,avg_duration,median_distance,count
Bus,Agra,Delhi,1099.0,1165.9398496240601,220.0,241.71428571428572,240.0,133
Bus,Bangalore,Chennai,589.0,632.2898550724638,415.0,421.19565217391306,346.0,138
Bus,Bangalore,Goa,1200.0,1266.551724137931,780.0,810.8620689655172,562.0,29
Bus,Bangalore,Hyderabad,949.5,1151.3522727272727,570.0,576.9318181818181,576.0,176
Bus,Bangalore,Pune,1599.0,2130.2631578947367,950.0,951.3157894736842,839.0,57
Bus,Chennai,Bangalore,600.0,657.2158273381295,410.0,421.76258992805754,345.0,139
Bus,Delhi,Agra,998.0,1080.3396226415093,230.0,241.64528301886793,243.0,265
Bus,Delhi,Jaipur,524.0,714.066265060241,359.0,358.93373493975906,307.0,166
Bus,Delhi,Lucknow,1299.0,1462.0526315789473,490.0,501.00956937799043,548.0,209
Bus,Delhi,Mumbai,4300.0,4300.0,2105.0,2105.0,1452.0,2
Bus,Hyderabad,Bangalore,1159.0,1347.8993710691823,600.0,604.8176100628931,576.0,159
Bus,Jaipur,Delhi,500.0,839.9343065693431,345.0,356.5255474452555,308.0,137
Bus,Kochi,Bangalore,1324.5,1334.3333333333333,585.0,595.0,547.0,108
Bus,Lucknow,Delhi,1299.0,1388.9518072289156,475.0,481.31325301204816,553.0,166
Bus,Mumbai,Bangalore,2099.0,2180.457142857143,1215.0,1215.4285714285713,984.0,35
Bus,Mumbai,Delhi,3650.0,4137.5,2130.0,2134.375,1453.0,8
Bus,Pune,Bangalore,2200.0,2197.5526315789475,900.0,909.421052631579,842.0,38
Bus,Udaipur,Delhi,1804.0,1985.7391304347825,800.0,817.0869565217391,688.0,23
Cab,AIIMS (Delhi),Adarsh Nagar (Delhi),506.0,506.0,45.12,45.12,11.28,1
Cab,AIIMS (Delhi),Akshardham (Delhi),1431.5,1431.5,147.82,147.82,36.955,2
Cab,AIIMS (Delhi),Ambience Mall (Delhi),345.5,345.5,110.86,110.86,27.715,2
Cab,AIIMS (Delhi),Anand Vihar (Delhi),438.5,438.5,156.6,156.6,39.15,2
Cab,AIIMS (Delhi),Anand Vihar ISBT (Delhi),609.0,609.0,75.48,75.48,18.87,1
Cab,AIIMS (Delhi),Ardee City (Delhi),467.5,467.5,95.0,95.0,23.75,2
Cab,AIIMS (Delhi),Arjangarh (Delhi),548.0,548.0,133.3,133.3,33.325,2
Cab,AIIMS (Delhi),Ashok Park Main (Delhi),423.0,433.0,57.88,79.4088888888889,14.47,9
Cab,AIIMS (Delhi),Ashok Vihar (Delhi),843.5,843.5,156.94,156.94,39.235,2
Cab,AIIMS (Delhi),Ashram (Delhi),360.0,431.25,142.57999999999998,122.46,35.644999999999996,4
Cab,AIIMS (Delhi),Aya Nagar (Delhi),359.5,359.5,94.5,94.5,23.625,2
Cab,AIIMS (Delhi),Azadpur (Delhi),470.0,470.0,133.16,133.16,33.29,1
Cab,AIIMS (Delhi),Badarpur (Delhi),463.0,643.6,134.2,115.272,33.55,5
Cab,AIIMS (Delhi),Badshahpur (Delhi),627.0,531.8,113.76,120.88,28.44,5
Cab,AIIMS (Delhi),Bahadurgarh (Delhi),551.0,497.2857142857143,155.36,116.58285714285715,38.84,7
Cab,AIIMS (Delhi),Barakhamba Road (Delhi),402.0,512.2,56.44,87.16799999999999,14.11,5
Cab,AIIMS (Delhi),Basai Dhankot (Delhi),470.5,504.0,60.1,93.35,15.025,8
Cab,AIIMS (Delhi),Bhikaji Cama Place (Delhi),889.5,1559.0,129.78,130.9,32.445,4
Cab,AIIMS (Delhi),Bhiwadi (Delhi),674.5,674.5,108.82,108.82,27.205,2
Cab,AIIMS (Delhi),Botanical Garden (Delhi),317.0,463.0,141.0,147.79999999999998,35.25,3
Cab,AIIMS (Delhi),Central Secretariat (Delhi),360.0,360.0,29.4,29.4,7.35,2
Cab,AIIMS (Delhi),Chanakyapuri (Delhi),394.0,362.0,176.96,141.45000000000002,44.24,4
Cab,AIIMS (Delhi),Chandni Chowk (Delhi),484.5,616.5,90.46000000000001,94.0,22.615000000000002,4
Cab,AIIMS (Delhi),Chhatarpur (Delhi),359.0,359.0,53.64,53.64,13.41,1
Cab,AIIMS (Delhi),Chirag Delhi (Delhi),675.0,675.0,145.04,145.04,36.26,2
Cab,AIIMS (Delhi),Civil Lines Gurgaon (Delhi),284.0,284.8,81.4,109.824,20.35,5
Cab,AIIMS (Delhi),Connaught Place (Delhi),307.0,363.8333333333333,136.36,139.46666666666667,34.09,6
Cab,AIIMS (Delhi),Cyber Hub (Delhi),351.5,351.5,117.22,117.22,29.305,2
Cab,AIIMS (Delhi),DLF City Court (Delhi),332.0,332.0,95.88,95.88,23.97,1
Cab,AIIMS (Delhi),DLF Phase 3 (Delhi),613.5,613.5,61.980000000000004,61.980000000000004,15.495000000000001,2
Cab,AIIMS (Delhi),Delhi Gate (Delhi),117.5,117.5,59.56,59.56,14.89,2
Cab,AIIMS (Delhi),Dilshad Garden (Delhi),533.0,538.0,89.44,81.656,22.36,5
Cab,AIIMS (Delhi),Dwarka Mor (Delhi),467.0,648.75,70.48,70.18,17.62,4
Cab,AIIMS (Delhi),Dwarka Sector 21 (Delhi),812.0,692.0,151.36,136.57333333333335,37.84,3
Cab,AIIMS (Delhi),Faridabad Sector 15 (Delhi),261.0,256.25,69.08,82.78,17.27,4
Cab,AIIMS (Delhi),GTB Nagar (Delhi),409.0,409.0,186.92,186.92,46.73,1
Cab,AIIMS (Delhi),Ghaziabad (Delhi),227.5,257.1666666666667,69.64,75.02666666666666,17.41,6
Cab,AIIMS (Delhi),Ghitorni (Delhi),639.0,695.2857142857143,106.36,115.69714285714285,26.59,7
Cab,AIIMS (Delhi),Ghitorni Village (Delhi),273.0,460.0,96.44,78.52,24.11,3
