totalFare,trainNumber,timeStamp,fromStnCode,toStnCode,distance,duration
1810,2563,2023-10-30 04:34:11.270596,BJU,NDLS,1182,1290.0
690,2563,2023-10-30 04:34:11.270596,BJU,NDLS,1182,1290.0
1740,2563,2023-10-30 04:34:11.270596,MFP,NDLS,1079,1180.0
655,2563,2023-10-30 04:34:11.270596,MFP,NDLS,1079,1180.0
1640,2563,2023-10-30 04:34:11.270596,CPR,NDLS,966,1018.0
610,2563,2023-10-30 04:34:11.270596,CPR,NDLS,966,1018.0
1440,2563,2023-10-30 04:34:11.270596,GKP,NDLS,786,845.0
530,2563,2023-10-30 04:34:11.270596,GKP,NDLS,786,845.0
1110,2563,2023-10-30 04:34:11.270596,ASH,NDLS,513,535.0
405,2563,2023-10-30 04:34:11.270596,ASH,NDLS,513,535.0
1050,2563,2023-10-30 04:34:11.270596,CNB,NDLS,440,430.0
385,2563,2023-10-30 04:34:11.270596,CNB,NDLS,440,430.0
1050,2564,2023-10-30 04:34:43.360499,NDLS,CNB,440,355.0
385,2564,2023-10-30 04:34:43.360499,NDLS,CNB,440,355.0
1110,2564,2023-10-30 04:34:43.360499,NDLS,ASH,512,450.0
405,2564,2023-10-30 04:34:43.360499,NDLS,ASH,512,450.0
1440,2564,2023-10-30 04:34:43.360499,NDLS,GKP,785,760.0
530,2564,2023-10-30 04:34:43.360499,NDLS,GKP,785,760.0
1640,2564,2023-10-30 04:34:43.360499,NDLS,CPR,965,975.0
610,2564,2023-10-30 04:34:43.360499,NDLS,CPR,965,975.0
1740,2564,2023-10-30 04:34:43.360499,NDLS,MFP,1078,1130.0
655,2564,2023-10-30 04:34:43.360499,NDLS,MFP,1078,1130.0
1810,2564,2023-10-30 04:34:43.360499,NDLS,BJU,1181,1275.0
690,2564,2023-10-30 04:34:43.360499,NDLS,BJU,1181,1275.0
1840,2569,2023-10-30 04:35:14.126081,DBG,NDLS,1167,1290.0
715,2569,2023-10-30 04:35:14.126081,DBG,NDLS,1167,1290.0
1820,2569,2023-10-30 04:35:14.126081,SPJ,NDLS,1129,1210.0
705,2569,2023-10-30 04:35:14.126081,SPJ,NDLS,1129,1210.0
1785,2569,2023-10-30 04:35:14.126081,MFP,NDLS,1077,1135.0
685,2569,2023-10-30 04:35:14.126081,MFP,NDLS,1077,1135.0
1690,2569,2023-10-30 04:35:14.126081,CPR,NDLS,964,993.0
640,2569,2023-10-30 04:35:14.126081,CPR,NDLS,964,993.0
1485,2569,2023-10-30 04:35:14.126081,GKP,NDLS,784,820.0
560,2569,2023-10-30 04:35:14.126081,GKP,NDLS,784,820.0
1155,2569,2023-10-30 04:35:14.126081,ASH,NDLS,512,485.0
435,2569,2023-10-30 04:35:14.126081,ASH,NDLS,512,485.0
1100,2569,2023-10-30 04:35:14.126081,CNB,NDLS,439,385.0
415,2569,2023-10-30 04:35:14.126081,CNB,NDLS,439,385.0
1100,2570,2023-10-30 04:35:59.025697,NDLS,CNB,440,360.0
415,2570,2023-10-30 04:35:59.025697,NDLS,CNB,440,360.0
1155,2570,2023-10-30 04:35:59.025697,NDLS,ASH,512,445.0
435,2570,2023-10-30 04:35:59.025697,NDLS,ASH,512,445.0
1485,2570,2023-10-30 04:35:59.025697,NDLS,GKP,785,750.0
560,2570,2023-10-30 04:35:59.025697,NDLS,GKP,785,750.0
1690,2570,2023-10-30 04:35:59.025697,NDLS,CPR,965,975.0
640,2570,2023-10-30 04:35:59.025697,NDLS,CPR,965,975.0
1785,2570,2023-10-30 04:35:59.025697,NDLS,MFP,1078,1115.0
685,2570,2023-10-30 04:35:59.025697,NDLS,MFP,1078,1115.0
1820,2570,2023-10-30 04:35:59.025697,NDLS,SPJ,1130,1190.0
705,2570,2023-10-30 04:35:59.025697,NDLS,SPJ,1130,1190.0
1840,2570,2023-10-30 04:35:59.025697,NDLS,DBG,1167,1305.0
715,2570,2023-10-30 04:35:59.025697,NDLS,DBG,1167,1305.0
2445,11057,2023-10-30 02:14:57.800607,CSMT,NZM,1543,1664.0
1690,11057,2023-10-30 02:14:57.800607,CSMT,NZM,1543,1664.0
635,11057,2023-10-30 02:14:57.800607,CSMT,NZM,1543,1664.0
2470,11057,2023-10-30 02:14:57.800607,CSMT,NDLS,1551,1690.0
1705,11057,2023-10-30 02:14:57.800607,CSMT,NDLS,1551,1690.0
640,11057,2023-10-30 02:14:57.800607,CSMT,NDLS,1551,1690.0
2445,11057,2023-10-30 02:14:57.800607,DR,NZM,1534,1657.0
1690,11057,2023-10-30 02:14:57.800607,DR,NZM,1534,1657.0
635,11057,2023-10-30 02:14:57.800607,DR,NZM,1534,1657.0
2445,11057,2023-10-30 02:14:57.800607,DR,NDLS,1542,1683.0
1690,11057,2023-10-30 02:14:57.800607,DR,NDLS,1542,1683.0
635,11057,2023-10-30 02:14:57.800607,DR,NDLS,1542,1683.0
2415,11057,2023-10-30 02:14:57.800607,TNA,NZM,1509,1632.0
1670,11057,2023-10-30 02:14:57.800607,TNA,NZM,1509,1632.0
625,11057,2023-10-30 02:14:57.800607,TNA,NZM,1509,1632.0
2415,11057,2023-10-30 02:14:57.800607,TNA,NDLS,1517,1658.0
1670,11057,2023-10-30 02:14:57.800607,TNA,NDLS,1517,1658.0
625,11057,2023-10-30 02:14:57.800607,TNA,NDLS,1517,1658.0
